academic_performance,anxiety_level,basic_needs,blood_pressure,breathing_problem,Sum of bullying,Column1,depression,extracurricular_activities,future_career_concerns,headache,K3,K3_renamed,living_conditions,LivingCondC,mental_health_history,MHProblemYes,noise_level,NoiseC,peer_pressure,PeerpressureC,PoorSleepQuality,Sum of safety,SafetyC,self_esteem,SelfEsteem>avg,sleep_quality,social_support,stress_level,study_load,teacher_student_relationship,AcademicC,BullyC,FuturecareerC
1,15,2,3,5,4,346,22,4,4,4,0,0,2,Bad Condition,1,100.00%,5,Noisy,5,Intense Peer Pressure,Poor,2,Not Safe,8,Below Average,1,1,2,3,1,Poor performance,Extreme Bullying,High concern
1,15,2,3,5,5,348,25,5,5,3,0,0,2,Bad Condition,1,100.00%,5,Noisy,4,Intense Peer Pressure,Poor,1,Not Safe,7,Below Average,1,1,2,5,1,Poor performance,Extreme Bullying,High concern
1,15,2,3,5,5,483,21,4,4,4,0,0,2,Bad Condition,1,100.00%,4,Noisy,5,Intense Peer Pressure,Poor,2,Not Safe,6,Below Average,1,1,2,4,2,Poor performance,Extreme Bullying,High concern
1,15,2,3,5,5,633,26,5,5,3,0,0,1,Bad Condition,1,100.00%,4,Noisy,5,Intense Peer Pressure,Poor,1,Not Safe,6,Below Average,1,1,2,4,1,Poor performance,Extreme Bullying,High concern
1,15,2,3,5,4,778,23,4,5,4,0,0,1,Bad Condition,1,100.00%,4,Noisy,5,Intense Peer Pressure,Poor,2,Not Safe,8,Below Average,1,1,2,5,2,Poor performance,Extreme Bullying,High concern
1,15,2,3,5,5,844,17,4,4,4,0,0,1,Bad Condition,1,100.00%,5,Noisy,5,Intense Peer Pressure,Poor,1,Not Safe,10,Below Average,1,1,2,5,1,Poor performance,Extreme Bullying,High concern
1,15,4,3,5,2,897,9,2,1,1,2,1,4,Good Condition,0,0.00%,0,Quiet,0,Minimal Peer Pressure,Moderate,1,Not Safe,6,Below Average,3,0,0,4,2,Poor performance,Minimal Bullying,Slight concern
1,16,1,3,0,3,211,16,2,3,1,2,1,1,Bad Condition,1,100.00%,5,Noisy,2,Minimal Peer Pressure,High,2,Not Safe,11,Below Average,5,1,0,5,4,Poor performance,Average Bullying,Average concern
1,16,1,3,3,5,294,24,4,5,5,0,0,2,Bad Condition,1,100.00%,4,Noisy,4,Intense Peer Pressure,Poor,2,Not Safe,5,Below Average,1,1,2,5,1,Poor performance,Extreme Bullying,High concern
1,16,1,3,3,5,423,16,5,4,3,0,0,1,Bad Condition,1,100.00%,5,Noisy,4,Intense Peer Pressure,Poor,1,Not Safe,1,Below Average,1,1,2,5,1,Poor performance,Extreme Bullying,High concern
1,16,1,3,3,5,527,21,5,5,5,0,0,1,Bad Condition,1,100.00%,3,Neutral,5,Intense Peer Pressure,Poor,2,Not Safe,15,Below Average,1,1,2,4,1,Poor performance,Extreme Bullying,High concern
1,16,1,3,3,5,562,26,5,4,3,0,0,2,Bad Condition,1,100.00%,5,Noisy,4,Intense Peer Pressure,Poor,2,Not Safe,10,Below Average,1,1,2,4,1,Poor performance,Extreme Bullying,High concern
1,16,1,3,3,4,686,17,4,5,3,0,0,1,Bad Condition,1,100.00%,4,Noisy,5,Intense Peer Pressure,Poor,2,Not Safe,9,Below Average,1,1,2,3,1,Poor performance,Extreme Bullying,High concern
1,16,1,3,3,4,889,19,5,4,4,0,0,1,Bad Condition,1,100.00%,3,Neutral,4,Intense Peer Pressure,Poor,1,Not Safe,14,Below Average,1,1,2,3,1,Poor performance,Extreme Bullying,High concern
1,16,1,3,4,4,91,18,5,4,4,0,0,2,Bad Condition,1,100.00%,5,Noisy,5,Intense Peer Pressure,Poor,1,Not Safe,11,Below Average,1,1,2,5,2,Poor performance,Extreme Bullying,High concern
1,16,1,3,4,5,235,20,5,5,3,0,0,1,Bad Condition,1,100.00%,5,Noisy,5,Intense Peer Pressure,Poor,2,Not Safe,13,Below Average,1,1,2,5,1,Poor performance,Extreme Bullying,High concern
1,16,2,3,3,4,276,22,5,4,3,0,0,1,Bad Condition,1,100.00%,5,Noisy,4,Intense Peer Pressure,Poor,2,Not Safe,15,Below Average,1,1,2,4,2,Poor performance,Extreme Bullying,High concern
1,16,2,3,3,5,806,25,4,5,5,0,0,2,Bad Condition,1,100.00%,3,Neutral,5,Intense Peer Pressure,Poor,2,Not Safe,1,Below Average,1,1,2,5,1,Poor performance,Extreme Bullying,High concern
1,16,2,3,3,4,1029,20,5,5,4,0,0,2,Bad Condition,1,100.00%,5,Noisy,4,Intense Peer Pressure,Poor,2,Not Safe,1,Below Average,1,1,2,4,1,Poor performance,Extreme Bullying,High concern
1,16,2,3,4,5,267,22,5,5,5,0,0,2,Bad Condition,1,100.00%,4,Noisy,4,Intense Peer Pressure,Poor,2,Not Safe,11,Below Average,1,1,2,5,2,Poor performance,Extreme Bullying,High concern
1,16,2,3,4,5,403,26,4,4,5,0,0,1,Bad Condition,1,100.00%,3,Neutral,5,Intense Peer Pressure,Poor,1,Not Safe,9,Below Average,1,1,2,4,1,Poor performance,Extreme Bullying,High concern
1,16,2,3,4,4,446,23,4,4,3,0,0,2,Bad Condition,1,100.00%,3,Neutral,4,Intense Peer Pressure,Poor,2,Not Safe,15,Below Average,1,1,2,3,2,Poor performance,Extreme Bullying,High concern
1,16,2,3,4,4,885,25,4,4,3,0,0,1,Bad Condition,1,100.00%,4,Noisy,4,Intense Peer Pressure,Poor,1,Not Safe,13,Below Average,1,1,2,4,2,Poor performance,Extreme Bullying,High concern
1,16,2,3,4,5,1064,27,5,4,4,0,0,2,Bad Condition,1,100.00%,5,Noisy,4,Intense Peer Pressure,Poor,1,Not Safe,3,Below Average,1,1,2,4,2,Poor performance,Extreme Bullying,High concern
1,16,2,3,5,5,201,27,4,5,5,0,0,1,Bad Condition,1,100.00%,4,Noisy,4,Intense Peer Pressure,Poor,1,Not Safe,9,Below Average,1,1,2,4,2,Poor performance,Extreme Bullying,High concern
1,16,2,3,5,4,388,18,5,5,3,0,0,2,Bad Condition,1,100.00%,4,Noisy,5,Intense Peer Pressure,Poor,1,Not Safe,11,Below Average,1,1,2,5,1,Poor performance,Extreme Bullying,High concern
1,16,2,3,5,4,819,21,4,5,5,0,0,1,Bad Condition,1,100.00%,4,Noisy,5,Intense Peer Pressure,Poor,2,Not Safe,8,Below Average,1,1,2,4,2,Poor performance,Extreme Bullying,High concern
1,17,1,3,3,5,10,25,4,4,4,0,0,2,Bad Condition,1,100.00%,4,Noisy,4,Intense Peer Pressure,Poor,1,Not Safe,12,Below Average,1,1,2,3,1,Poor performance,Extreme Bullying,High concern
1,17,1,3,3,4,75,26,5,5,5,0,0,1,Bad Condition,1,100.00%,5,Noisy,5,Intense Peer Pressure,Poor,2,Not Safe,5,Below Average,1,1,2,5,1,Poor performance,Extreme Bullying,High concern
1,17,1,3,3,5,642,22,5,5,4,0,0,1,Bad Condition,1,100.00%,3,Neutral,5,Intense Peer Pressure,Poor,2,Not Safe,10,Below Average,1,1,2,5,1,Poor performance,Extreme Bullying,High concern
1,17,1,3,3,5,1028,16,5,5,5,0,0,2,Bad Condition,1,100.00%,4,Noisy,4,Intense Peer Pressure,Poor,2,Not Safe,10,Below Average,1,1,2,4,1,Poor performance,Extreme Bullying,High concern
1,17,1,3,4,4,535,21,4,5,5,0,0,2,Bad Condition,1,100.00%,3,Neutral,5,Intense Peer Pressure,Poor,1,Not Safe,11,Below Average,1,1,2,4,1,Poor performance,Extreme Bullying,High concern
1,17,1,3,4,4,982,27,5,4,4,0,0,1,Bad Condition,1,100.00%,4,Noisy,5,Intense Peer Pressure,Poor,2,Not Safe,10,Below Average,1,1,2,5,2,Poor performance,Extreme Bullying,High concern
1,17,1,3,5,5,7,22,4,4,4,0,0,1,Bad Condition,1,100.00%,3,Neutral,4,Intense Peer Pressure,Poor,1,Not Safe,3,Below Average,1,1,2,3,2,Poor performance,Extreme Bullying,High concern
1,17,1,3,5,4,11,22,5,4,3,0,0,2,Bad Condition,1,100.00%,5,Noisy,5,Intense Peer Pressure,Poor,1,Not Safe,15,Below Average,1,1,2,3,1,Poor performance,Extreme Bullying,High concern
1,17,1,3,5,4,453,27,5,4,3,0,0,2,Bad Condition,1,100.00%,5,Noisy,5,Intense Peer Pressure,Poor,2,Not Safe,9,Below Average,1,1,2,5,2,Poor performance,Extreme Bullying,High concern
1,17,1,3,5,5,792,20,5,4,3,0,0,1,Bad Condition,1,100.00%,4,Noisy,5,Intense Peer Pressure,Poor,2,Not Safe,2,Below Average,1,1,2,3,1,Poor performance,Extreme Bullying,High concern
1,17,2,3,0,1,545,10,1,5,5,2,1,4,Good Condition,0,0.00%,1,Quiet,3,Moderate Peer Pressure,Poor,0,Not Safe,23,Above Average,1,0,2,3,3,Poor performance,Minimal Bullying,High concern
1,17,2,3,3,5,82,17,5,5,5,0,0,1,Bad Condition,1,100.00%,5,Noisy,4,Intense Peer Pressure,Poor,2,Not Safe,15,Below Average,1,1,2,4,2,Poor performance,Extreme Bullying,High concern
1,17,2,3,3,5,662,23,4,4,3,0,0,1,Bad Condition,1,100.00%,5,Noisy,4,Intense Peer Pressure,Poor,2,Not Safe,13,Below Average,1,1,2,3,2,Poor performance,Extreme Bullying,High concern
1,17,2,3,3,4,845,23,5,4,4,0,0,1,Bad Condition,1,100.00%,3,Neutral,4,Intense Peer Pressure,Poor,2,Not Safe,2,Below Average,1,1,2,4,2,Poor performance,Extreme Bullying,High concern
1,17,2,3,4,5,87,21,5,5,4,0,0,2,Bad Condition,1,100.00%,5,Noisy,4,Intense Peer Pressure,Poor,1,Not Safe,3,Below Average,1,1,2,5,2,Poor performance,Extreme Bullying,High concern
1,17,2,3,4,4,115,27,4,4,4,0,0,2,Bad Condition,1,100.00%,4,Noisy,4,Intense Peer Pressure,Poor,2,Not Safe,12,Below Average,1,1,2,5,1,Poor performance,Extreme Bullying,High concern
1,17,2,3,4,4,176,23,4,4,5,0,0,1,Bad Condition,1,100.00%,3,Neutral,4,Intense Peer Pressure,Poor,1,Not Safe,15,Below Average,1,1,2,4,2,Poor performance,Extreme Bullying,High concern
1,17,2,3,4,5,895,19,4,5,4,0,0,2,Bad Condition,1,100.00%,4,Noisy,5,Intense Peer Pressure,Poor,2,Not Safe,5,Below Average,1,1,2,3,2,Poor performance,Extreme Bullying,High concern
1,17,2,3,4,5,963,18,4,5,3,0,0,1,Bad Condition,1,100.00%,3,Neutral,4,Intense Peer Pressure,Poor,2,Not Safe,9,Below Average,1,1,2,3,1,Poor performance,Extreme Bullying,High concern
1,17,2,3,5,4,89,18,4,5,4,0,0,2,Bad Condition,1,100.00%,4,Noisy,5,Intense Peer Pressure,Poor,1,Not Safe,12,Below Average,1,1,2,4,1,Poor performance,Extreme Bullying,High concern
1,17,2,3,5,4,971,24,4,5,4,0,0,2,Bad Condition,1,100.00%,5,Noisy,4,Intense Peer Pressure,Poor,2,Not Safe,2,Below Average,1,1,2,3,2,Poor performance,Extreme Bullying,High concern
1,17,2,3,5,5,993,20,5,4,5,0,0,2,Bad Condition,1,100.00%,3,Neutral,4,Intense Peer Pressure,Poor,1,Not Safe,14,Below Average,1,1,2,3,2,Poor performance,Extreme Bullying,High concern
1,17,2,3,5,4,1022,27,4,4,3,0,0,1,Bad Condition,1,100.00%,3,Neutral,5,Intense Peer Pressure,Poor,2,Not Safe,5,Below Average,1,1,2,4,1,Poor performance,Extreme Bullying,High concern
1,17,3,3,1,0,171,3,0,0,3,2,1,4,Good Condition,0,0.00%,5,Noisy,1,Minimal Peer Pressure,Poor,4,Safe,9,Below Average,2,1,2,2,1,Poor performance,No Bully,Slight concern
